Run ID,Name,AUC,Accuracy,F1-score,Kappa,MCC,val_Accuracy,val_F1-score,Dataset ID,Dataset Type,model
e265dbdd046448f3bc4d52b82a978136,SD0Q4_0-K-Nearest Neighbor,0.5260410447761193,0.703125,0.6973597793248391,0.4108844269795985,0.4345591894192079,0.8616,0.8547,SD0Q4_0,synthetic,knn
747c47e9b1b8472d8cd4e850a1d71a95,SD0Q4_0-Logistic Regression,0.6134925373134328,0.7109375,0.707266820963278,0.4352043250119256,0.4687398086139492,0.868,0.8693,SD0Q4_0,synthetic,lr
12d336e8e7744fa9a8603f8f0b418790,SD0Q4_0-Orignal_Logistic Regression,0.6146567164179105,0.7096354166666666,0.7060345108728302,0.4330958875089373,0.4669245829550655,0.868,0.8693,SD0Q4_0,synthetic,SD0Q4_0-Orignal_Logistic Regression
2dc7ccd11dee48ff9fd4943fb9d71fd1,SD0Q3_0-K-Nearest Neighbor,0.3910149253731343,0.7083333333333334,0.6888888888888889,0.3795729948066936,0.3819242046283836,0.7916,0.8011,SD0Q3_0,synthetic,knn
48ebc5b6b322404fba10776d2f0095d8,SD0Q3_0-Logistic Regression,0.4780522388059702,0.7317708333333334,0.6982421874999999,0.3971466894281185,0.3981298913532195,0.7296,0.7355,SD0Q3_0,synthetic,lr
c3a3ad0d07014c62ae8b6055919f418c,SD0Q3_0-Orignal_Logistic Regression,0.4780485074626865,0.7291666666666666,0.6953124999999999,0.3912937446652846,0.3922624566633347,0.7296,0.7355,SD0Q3_0,synthetic,SD0Q3_0-Orignal_Logistic Regression
9fd2ab3b513b438595b71b63dcc2270f,SD0Q2_0-K-Nearest Neighbor,0.3690820895522388,0.7291666666666666,0.7155555555555555,0.4352302296639891,0.4419544216735188,0.8371,0.8324,SD0Q2_0,synthetic,knn
35a57d4067e34a42bd87605f3e0770d4,SD0Q2_0-Logistic Regression,0.5114589552238806,0.7239583333333334,0.7120787709023003,0.4299798341922474,0.4392486185403455,0.8517,0.8566,SD0Q2_0,synthetic,lr
f483b9e2cb0b4d718337a631a68b6b7f,SD0Q2_0-Orignal_Logistic Regression,0.5285559701492537,0.7239583333333334,0.7141874100340554,0.436388811963445,0.4494436476858768,0.8485,0.8549,SD0Q2_0,synthetic,SD0Q2_0-Orignal_Logistic Regression
d125f5730a1f42e5b649ed536f426ad7,SD0Q1_2-K-Nearest Neighbor,0.4972462686567165,0.6106770833333334,0.5826564865518162,0.1669617204051425,0.1676718970861524,0.6593,0.4933,SD0Q1_2,synthetic,knn
efdf7a90cace48b7b16f420f4cf25ffa,SD0Q1_2-Logistic Regression,0.6115671641791045,0.5885416666666666,0.5869281045751633,0.2188690905345555,0.2457614491146034,0.6968,0.6277,SD0Q1_2,synthetic,lr
fa6a1faf4cc54f8082e6a2f84f25add3,SD0Q1_2-Orignal_Logistic Regression,0.6123171641791045,0.5872395833333334,0.5858176009145983,0.2181486524676925,0.2458603898482476,0.7033,0.6346,SD0Q1_2,synthetic,SD0Q1_2-Orignal_Logistic Regression
5e2987b89ee241429b3fc29f1d6b926a,SD0Q1_1-K-Nearest Neighbor,0.3958992537313432,0.6614583333333334,0.5688076564281519,0.1653290529695024,0.180223953888767,0.6856,0.6283,SD0Q1_1,synthetic,knn
8384f2990f124b1b90d2af9c7571ad72,SD0Q1_1-Logistic Regression,0.4870373134328358,0.6796875,0.6297707231040565,0.2631513260530421,0.2661531418701737,0.7134,0.6882,SD0Q1_1,synthetic,lr
97b4ddebe8b342268f372dbe175dfdeb,SD0Q1_1-Orignal_Logistic Regression,0.4884888059701492,0.6796875,0.6297707231040565,0.2631513260530421,0.2661531418701737,0.7134,0.6882,SD0Q1_1,synthetic,SD0Q1_1-Orignal_Logistic Regression
5d622da434824be2b0335954083b0603,SD0Q1_0-K-Nearest Neighbor,0.4289291044776119,0.3463541666666667,0.3166969147005445,-0.0740839796737096,-0.1360456818836005,0.6678,0.6657,SD0Q1_0,synthetic,knn
abf616895a21432daf8b6ce2205e8383,SD0Q1_0-Logistic Regression,0.5430820895522388,0.3997395833333333,0.3996897121783731,-0.1057089319175514,-0.1255627477257385,0.6809,0.6903,SD0Q1_0,synthetic,lr
9f2180dee6d94db383e71da1519bd09c,SD0Q1_0-Orignal_Logistic Regression,0.5492462686567164,0.4036458333333333,0.4034475974682342,-0.1041133042037065,-0.1223754216268093,0.6777,0.6861,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
c518c459ecad45a6a4adcecd2dccd07f,SD0Q1_0-Logistic Regression,,,,,,,,SD0Q1_0,synthetic,lr
bfd2116e3d824556abfee66bfcc40e0a,SD0Q1_0-Orignal_Logistic Regression,0.5457014925373135,0.4127604166666667,0.4126399221302926,-0.0677978642069696,-0.0828906070593934,0.6937,0.6959,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
1a65677d9d6e4b82ac1afd9b33f66870,SD0Q1_0-Orignal_Logistic Regression,,,,,,,,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
f54deac92a814b9397c98a86cb721d70,SD0Q1_0-Logistic Regression,,,,,,,,SD0Q1_0,synthetic,lr
ebeb896c3cb14140a25e0ad812d41094,SD0Q1_0-Orignal_Logistic Regression,0.5609962686567165,0.4127604166666667,0.4122332617789053,-0.0944111625085311,-0.1095449885451342,0.6824,0.682,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
3c977d5b4bd840f1b9a0c6cfea8b028b,SD0Q1_0-Orignal_Logistic Regression,,,,,,,,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
be28c90b81564ac0a4189b5bc6eb5e61,SD0Q1_0-Orignal_Logistic Regression,,,,,,,,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
398282db210f4b82aca3f68a1a0b9b63,SD0Q1_0-Orignal_Logistic Regression,,,,,,,,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
7f1a2ae43d9b426ba50c822529e7edd5,SD0Q1_0-Orignal_Logistic Regression,,,,,,,,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
46fbeb7c1ba64f5ba00d4212290b9c7b,SD0Q1_0-Orignal_Logistic Regression,,,,,,,,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
993c513b4059418c84bcb098d9fa883a,SD0Q1_0-Orignal_Logistic Regression,,,,,,,,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
17659c10adde48a8bd4c877864e8f3c1,SD0Q1_0-Orignal_Logistic Regression,,,,,,,,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
2a38c23a20434710943824cdfe7bc134,SD0Q1_0-Orignal_Logistic Regression,,,,,,,,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
836a40ee7e754af79062895e5a995362,SD0Q1_0-Orignal_Logistic Regression,,,,,,,,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
f0dc108879a3429481d7168f6f5acc09,SD0Q1_0-Orignal_Logistic Regression,,,,,,,,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
dc43b20fb865475cbcf9e4963fbda70a,SD0Q1_0-Orignal_Logistic Regression,,,,,,,,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
6f392f67a9ad46ab953bdae173ce3502,SD0Q1_0-Orignal_Logistic Regression,,,,,,,,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
d06a1752c6bb4663abea265e308e170a,D0-K-Nearest Neighbor,0.8296,0.7654,0.5675,0.4252,0.4644,,,D0,original,knn
8e13a8c03131487cb7195d6e23e54001,D0-Logistic Regression,0.8413,0.7557,0.6715,0.4793,0.4848,,,D0,original,lr
ad6f6fb60eb848dd95ba107d92a3a662,SD0Q1_0-Orignal_Logistic Regression,,,,,,,,SD0Q1_0,synthetic,SD0Q1_0-Orignal_Logistic Regression
a5a9932f5d3f4785a5b3ce6db40eb311,D0-K-Nearest Neighbor,0.8131,0.7637,0.5959,0.4383,0.4567,,,D0,original,knn
928f7a4e95c34cbab14442aec087223b,D0-Logistic Regression,0.8337,0.7735,0.6413,0.4794,0.4908,,,D0,original,lr
