DatasetName,pMSE,pMSE_time,s_pMSE,s_pMSE_time,Cluster_1,Cluster_1_time,BNLogLikelihood,BNLogLikelihood_time,GMLogLikelihood,GMLogLikelihood_time,ContinousKLDivergence,ContinousKLDivergence_time,DiscreteKLDivergence,DiscreteKLDivergence_time,KSComplement,KSComplement_time,CSTest,CSTest_time,CrossClassification,CrossClassification_time
SD0Q1_0,0.2499271872710592,0.028653199999999934,225.7762212589287,0.013962499999999878,25.6,10.751150299999999,-0.7369321603614128,0.5025531999999977,-62.84639991288333,4.033272,0.1842961250199892,0.0969104999999999,,0.0019456000000026563,0.13639322916666669,0.00642689999999746,0.7617154319417879,0.001194900000001553,0.0,0.08735829999999822
SD0Q1_1,0.2495491734072785,0.019095799999998775,221.8668171041237,0.016794500000003154,25.6,13.936637499999996,-0.7694124269192949,0.024553699999998457,-60.41939131733031,3.7946152999999967,0.18422947535122547,0.0997154000000009,,0.00034219999999862694,0.13639322916666669,0.0070655000000030554,0.6799725664010531,0.0009027999999986491,0.40369799691833586,0.06857839999999982
SD0Q1_2,0.24945705208276267,0.016156799999997418,226.84169386326303,0.015786900000001935,25.6,15.605834399999999,-0.7474882469927246,0.024622300000004316,-63.348539987891456,3.834857900000003,0.18452583573729284,0.09595149999999819,,0.00035409999999558295,0.13655598958333334,0.007219499999997936,0.7348039575887315,0.0008863999999988437,0.28653295128939826,0.07543140000000648
SD0Q1_3,0.24980070330386278,0.016735400000001732,253.1902811764242,0.016349699999999245,25.6,13.515382500000001,-0.7686004202553479,0.024661500000007663,-65.4484321687077,3.9218673999999965,0.18463279258831908,0.10063870000000463,,0.00028120000000342316,0.13639322916666669,0.005073000000010097,0.6819755748408967,0.0007034000000061269,0.4761904761904762,0.056105099999996355
SD0Q1_4,0.24981768203557522,0.019097700000003215,224.99403884413692,0.01798019999999667,25.6,13.039090700000003,-0.753984300304301,0.02452019999999777,-61.353127799963595,3.8872333000000054,0.18422216994604207,0.09324459999999135,,0.00038610000000005584,0.13639322916666669,0.00709460000000206,0.7184010906478477,0.0009213000000016791,0.12041884816753926,0.06968550000000562
SD0Q1_5,0.24959682040870698,0.017660700000007523,235.16165716390563,0.013821500000005926,25.6,13.670153100000007,-0.755608313632195,0.024558999999996445,-63.30826355442281,3.826799600000001,0.18449416075655142,0.09531820000000835,,0.00029279999999687334,0.13623046875,0.005058200000007673,0.7143202265425928,0.0006985999999926662,0.5121241513094084,0.05165209999999831
SD0Q1_6,0.24941999395920902,0.019097699999989004,232.00275047950015,0.01654070000000729,25.6,10.71566279999999,-0.7491122603206186,0.024654999999995653,-62.08962916071129,4.620273499999996,0.18421359804429657,0.09831669999999804,,0.0003547000000025946,0.13655598958333334,0.0060602000000073986,0.7306915434824012,0.0008327999999977465,0.20134228187919467,0.07286530000000369
SD0Q1_7,0.2496927776395348,0.03127619999999354,222.01230416179152,0.02830379999998911,25.6,13.9853193,-0.7458642336648303,0.02468009999998344,-62.80882820947972,4.409625700000021,0.18430063457506835,0.1368537000000174,,0.0007260000000144373,0.13623046875,0.014228800000012143,0.7389239897585508,0.0017378000000007887,0.39881831610044316,0.06297769999997627
SD0Q1_8,0.24994969788729987,0.03534809999999311,235.0636632669056,0.025656099999991966,24.74285714285714,14.238542699999982,-0.7466762403287776,0.02658769999999322,-62.81431049534118,4.566226599999993,0.18457688671696823,0.1445525000000032,,0.000731400000006488,0.13623046875,0.015673500000019658,0.7368630282191522,0.0017716000000120857,0.4376130198915009,0.10778539999998316
SD0Q1_9,0.24992855602623473,0.03142510000000698,233.06384041307314,0.027285700000021507,25.6,11.80869469999999,-0.7564203202961423,0.03567390000000614,-63.06434459968892,4.632874600000008,0.1845660166100493,0.14959269999999947,,0.0006118999999955577,0.13639322916666666,0.011668299999996634,0.7122828454905403,0.0018377000000100452,0.5098493626882967,0.1310890000000029
SD0Q2_0,0.014283406768451542,0.04634290000001329,11.152387624262616,0.03184699999999907,2.086246441440792,13.299434399999996,-0.770224433583242,0.03240610000000288,-31.503595116443922,4.948022899999984,0.45173226081108614,0.14253239999999323,,0.0007506000000034874,0.8531901041666666,0.012028000000015027,0.6779718138099993,0.0016832999999962794,0.5967130214917825,0.16658220000002188
SD0Q2_1,0.016000306843892458,0.027450200000004088,10.721274476618996,0.03033320000000117,2.3403425631186914,13.065563499999996,-0.753172293640354,0.024813499999993383,-30.87723087448244,4.656303899999983,0.45634366536707477,0.14178210000000036,,0.0005551000000139084,0.8513997395833333,0.010004199999997354,0.7204445472671214,0.0013265000000046712,0.610079575596817,0.1300281000000041
SD0Q2_2,0.022686285488329225,0.0307194000000095,20.312205321896275,0.029173600000007127,1.9256365538957796,14.594935700000008,-0.7580443336240362,0.027957500000013624,-30.21409041025905,4.781959400000005,0.44010256507846196,0.12943099999998253,,0.000419899999997142,0.8466796875000001,0.010712599999976646,0.7082142511458079,0.001740500000011025,0.6296296296296295,0.14727859999999282
SD0Q2_3,0.015233139245243665,0.030470000000008213,15.357330947908059,0.035067100000020446,2.028358176456146,12.662302899999986,-0.7523602869764069,0.025862799999998742,-31.11940429535454,4.804871500000019,0.4678717097586244,0.1334698000000003,,0.0003503000000364409,0.8450520833333334,0.005805599999973765,0.7224900025695513,0.0009013000000095417,0.5863453815261044,0.14709870000001501
SD0Q2_4,0.014720339268357259,0.030122599999970134,10.863269937851975,0.02509459999998853,1.1604141030286454,11.578764699999965,-0.7645403869356127,0.029048600000010083,-31.151482817119174,4.826467400000013,0.4769137058461479,0.14887260000000424,,0.0006723999999849184,0.8553059895833334,0.012428699999986748,0.6920240183772164,0.001622599999961949,0.6198347107438016,0.1383722000000489
