DatasetName,pMSE,pMSE_time,s_pMSE,s_pMSE_time,Cluster_1,Cluster_1_time,BNLogLikelihood,BNLogLikelihood_time,GMLogLikelihood,GMLogLikelihood_time,ContinousKLDivergence,ContinousKLDivergence_time,DiscreteKLDivergence,DiscreteKLDivergence_time,KSComplement,KSComplement_time,CSTest,CSTest_time,CrossClassification,CrossClassification_time,SDG
SD0Q1_0,0.06934810525918648,0.05541460000000242,51.13251503263913,0.057083800000000906,7.116511313681294,37.3681925,-0.7174440004266837,0.724688399999998,-27.700763128746825,9.567425799999995,0.5528732254792516,0.2752628999999942,,0.0027318000000065013,0.8235677083333333,0.015918200000001548,0.8121402425620062,0.002634800000009818,0.2097649186256781,0.2913422999999966,SD0Q1
SD0Q1_1,0.06654734329466513,0.06077139999999304,66.52698965783291,0.059244300000003136,6.597769192293621,33.91043669999999,-0.7255640670661542,0.08794759999999258,-28.321748915249955,9.698853299999996,0.5583725656700907,0.2728613999999965,,0.0009269999999901302,0.8203124999999999,0.017269699999999943,0.7910219362896882,0.0021100000000018326,0.5457317073170732,0.2976627999999977,SD0Q1
SD0Q1_2,0.0735078918443765,0.05131460000001198,71.48307613231027,0.060828700000001845,7.938453104620556,37.94701699999999,-0.7271880803940484,0.08936490000002095,-28.623612993780856,9.561525499999988,0.5549922519430118,0.2819444999999803,,0.0009052999999994427,0.8094075520833334,0.015574200000003202,0.7868160855385565,0.002144599999979846,0.5227722772277228,0.28400980000000686,SD0Q1
SD0Q1_3,0.06551935397064468,0.05888759999999138,54.992050107019054,0.060081400000001395,7.085517361765757,33.81040679999998,-0.7206920270824719,0.08870820000001345,-27.68646200447961,9.688576800000021,0.57071691076738,0.28737140000001204,,0.0008508999999889966,0.8087565104166666,0.015835100000003877,0.8036755804676498,0.0021878000000015163,0.5,0.28907409999999345,SD0Q1
SD0Q1_4,0.06578296182375629,0.06340090000000487,73.97772963704547,0.053984999999983074,6.963456771562173,37.640761,-0.7434282136729893,0.0913611000000003,-27.565698252544646,9.76492859999999,0.5601572832058287,0.2745428000000061,,0.0008899999999982811,0.8160807291666666,0.01545630000001097,0.745118083049664,0.002091999999976224,0.5152722443559097,0.2782171000000062,SD0Q1
SD0Q1_5,0.07818349067311177,0.06040089999999054,65.24250799231315,0.06186230000000137,7.498067522533218,35.14235050000002,-0.7320601203777306,0.08854600000000801,-28.48020775992308,9.542322000000013,0.5510618470645062,0.26643669999998565,,0.0012541000000396707,0.8149414062499999,0.015944499999989148,0.7742362568211212,0.0022169000000076267,0.4428152492668621,0.26975900000002184,SD0Q1
SD0Q1_6,0.06221288761871962,0.05680680000000393,59.81352857728835,0.060180800000011914,7.428507751543899,33.8822753,-0.7255640670661542,0.0870127000000025,-27.947273073355984,9.670013700000027,0.563517890986818,0.2629386000000409,,0.0008629000000155429,0.81884765625,0.01526029999996581,0.7910219362896882,0.0020830000000273685,0.39803439803439805,0.28151959999996734,SD0Q1
SD0Q1_7,0.06892389386637846,0.0519841999999926,62.38835042130049,0.046132699999986926,6.773123459172502,29.624768700000004,-0.7247520604022073,0.08955420000000913,-28.157843220858854,9.5873876,0.580674216505087,0.2867056999999704,,0.0008718999999928201,0.8102213541666666,0.015786199999979544,0.7931271540187986,0.002131100000042352,0.4313725490196078,0.2772640000000024,SD0Q1
SD0Q1_8,0.07366825592777908,0.05899180000000115,63.21348644483846,0.059116800000026615,7.218458436702753,40.62910870000002,-0.723128047074313,0.08871690000000854,-27.854977397521594,9.484638700000005,0.5514543193144952,0.2661391999999978,,0.0008320000000026084,0.8134765625000001,0.015279599999985294,0.7973421010906666,0.0021635999999602973,0.5458015267175572,0.268535600000007,SD0Q1
SD0Q1_9,0.07118423596302685,0.060904400000026726,65.70182671391655,0.057660100000020975,7.930994885025212,36.14998079999998,-0.7158199870987896,0.09678229999997257,-27.76670236233355,9.654571099999998,0.562550130744081,0.2675958999999466,,0.0009034999999926185,0.81298828125,0.015273100000001705,0.8163808875495315,0.0021418000000039683,0.4148783977110157,0.2857156000000032,SD0Q1
SD0Q2_0,0.03472165180273847,0.06565880000005109,39.60958458874269,0.06741750000003321,4.168817011231697,43.167634899999996,-0.7434282136729893,0.0936424999999872,-28.518765996801832,9.698160800000096,0.5887261312624015,0.28853800000001684,,0.0008621999999149921,0.849609375,0.015919700000040393,0.745118083049664,0.002124800000046889,0.638888888888889,0.282740600000011,SD0Q2
