Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,algorithm,class_weight,dual,fit_intercept,intercept_scaling,l1_ratio,leaf_size,max_iter,metric,metric_params,multi_class,n_jobs,n_neighbors,p,penalty,random_state,solver,tol,verbose,warm_start,weights,AUC,Accuracy,F1-score,Kappa,MCC,val_Accuracy,val_F1-score,Dataset ID,Dataset Type,model,Run ID,USI,model run id,model run name
2023-04-11 23:59:23,1.2min,e265dbdd046448f3bc4d52b82a978136,SD0Q4_0-K-Nearest Neighbor,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,auto,,,,,,30,,minkowski,None,,-1,5,2,,,,,,,uniform,0.5260410447761193,0.703125,0.6973597793248391,0.4108844269795985,0.43455918941920796,0.8616,0.8547,SD0Q4_0,synthetic,knn,e265dbdd046448f3bc4d52b82a978136,38cc,,
2023-04-11 23:58:13,1.2min,747c47e9b1b8472d8cd4e850a1d71a95,SD0Q4_0-Logistic Regression,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,1.0,,None,False,True,1,None,,1000,,,auto,None,,,l2,4420,lbfgs,0.0001,0,False,,0.6134925373134328,0.7109375,0.707266820963278,0.43520432501192563,0.46873980861394926,0.868,0.8693,SD0Q4_0,synthetic,lr,747c47e9b1b8472d8cd4e850a1d71a95,38cc,,
2023-04-11 23:57:42,30.7s,12d336e8e7744fa9a8603f8f0b418790,SD0Q4_0-Orignal_Logistic Regression,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,2.506,,None,False,True,1,None,,1000,,,auto,None,,,l2,202,lbfgs,0.0001,0,False,,0.6146567164179105,0.7096354166666666,0.7060345108728302,0.43309588750893735,0.4669245829550655,0.868,0.8693,SD0Q4_0,synthetic,SD0Q4_0-Orignal_Logistic Regression,12d336e8e7744fa9a8603f8f0b418790,38cc,,
2023-04-11 23:57:42,2.8min,f54478dab352446a859c231b48b92f45,SD0Q4_0-models,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SD0Q4_0,synthetic,,f54478dab352446a859c231b48b92f45,38cc,,
2023-04-11 23:56:23,1.3min,2dc7ccd11dee48ff9fd4943fb9d71fd1,SD0Q3_0-K-Nearest Neighbor,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,auto,,,,,,30,,manhattan,None,,-1,30,2,,,,,,,distance,0.3910149253731343,0.7083333333333334,0.6888888888888889,0.3795729948066936,0.38192420462838367,0.7916,0.8011,SD0Q3_0,synthetic,knn,2dc7ccd11dee48ff9fd4943fb9d71fd1,3bf2,,
2023-04-11 23:55:00,1.4min,48ebc5b6b322404fba10776d2f0095d8,SD0Q3_0-Logistic Regression,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,1.0,,None,False,True,1,None,,1000,,,auto,None,,,l2,8939,lbfgs,0.0001,0,False,,0.4780522388059702,0.7317708333333334,0.6982421874999999,0.3971466894281185,0.3981298913532195,0.7296,0.7355,SD0Q3_0,synthetic,lr,48ebc5b6b322404fba10776d2f0095d8,3bf2,,
2023-04-11 23:54:25,34.7s,c3a3ad0d07014c62ae8b6055919f418c,SD0Q3_0-Orignal_Logistic Regression,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,2.506,,None,False,True,1,None,,1000,,,auto,None,,,l2,202,lbfgs,0.0001,0,False,,0.47804850746268657,0.7291666666666666,0.6953124999999999,0.39129374466528466,0.39226245666333476,0.7296,0.7355,SD0Q3_0,synthetic,SD0Q3_0-Orignal_Logistic Regression,c3a3ad0d07014c62ae8b6055919f418c,3bf2,,
2023-04-11 23:54:25,3.2min,4d8d3b0ecb98470aac71c3a0f9080a0b,SD0Q3_0-models,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SD0Q3_0,synthetic,,4d8d3b0ecb98470aac71c3a0f9080a0b,3bf2,,
2023-04-11 23:53:12,1.2min,9fd2ab3b513b438595b71b63dcc2270f,SD0Q2_0-K-Nearest Neighbor,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,auto,,,,,,30,,manhattan,None,,-1,47,2,,,,,,,uniform,0.3690820895522388,0.7291666666666666,0.7155555555555555,0.43523022966398917,0.4419544216735188,0.8371,0.8324,SD0Q2_0,synthetic,knn,9fd2ab3b513b438595b71b63dcc2270f,129f,,
2023-04-11 23:52:02,1.2min,35a57d4067e34a42bd87605f3e0770d4,SD0Q2_0-Logistic Regression,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,5.305000000000001,,balanced,False,True,1,None,,1000,,,auto,None,,,l2,8338,lbfgs,0.0001,0,False,,0.5114589552238806,0.7239583333333334,0.7120787709023003,0.4299798341922474,0.4392486185403455,0.8517,0.8566,SD0Q2_0,synthetic,lr,35a57d4067e34a42bd87605f3e0770d4,129f,,
